"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.369606200E-1	-8.434699476E-2	6.107679605E-1	9.831509590E0	9.850823962E0
6.390495380E-1	-8.913264424E-2	6.346961856E-1	9.836296082E0	9.857154989E0
6.411414980E-1	-8.015955985E-2	6.586244106E-1	9.821938515E0	9.844322620E0
6.432289000E-1	-8.494520187E-2	6.771687865E-1	9.817152977E0	9.840846804E0
6.453206460E-1	-7.537391037E-2	6.819544435E-1	9.802796364E0	9.826777683E0
6.474070010E-1	-7.118647546E-2	7.202396393E-1	9.802198410E0	9.828881235E0
6.494961020E-1	-5.204389244E-2	7.304090858E-1	9.787840843E0	9.815194057E0
6.515845320E-1	-5.204389244E-2	7.543373108E-1	9.768698692E0	9.797918528E0
6.536745680E-1	-3.768695518E-2	7.639086246E-1	9.753743172E0	9.783684508E0
6.557638540E-1	-3.768695518E-2	7.591229677E-1	9.753743172E0	9.783312008E0
6.578530970E-1	-3.290131316E-2	7.351947427E-1	9.739984512E0	9.767747545E0
